handle,fieldType,name,visible,plainDescription,media,mediaAltText,ribbon,brand,price,strikethroughPrice,baseUnit,baseUnitMeasurement,totalUnits,totalUnitsMeasurement,cost,inventory,preOrderEnabled,preOrderMessage,preOrderLimit,sku,barcode,weight,productOptionName1,productOptionType1,productOptionChoices1,productOptionName2,productOptionType2,productOptionChoices2,productOptionName3,productOptionType3,productOptionChoices3,productOptionName4,productOptionType4,productOptionChoices4,productOptionName5,productOptionType5,productOptionChoices5,productOptionName6,productOptionType6,productOptionChoices6,modifierName1,modifierType1,modifierCharLimit1,modifierMandatory1,modifierDescription1,modifierName2,modifierType2,modifierCharLimit2,modifierMandatory2,modifierDescription2,modifierName3,modifierType3,modifierCharLimit3,modifierMandatory3,modifierDescription3,modifierName4,modifierType4,modifierCharLimit4,modifierMandatory4,modifierDescription4,modifierName5,modifierType5,modifierCharLimit5,modifierMandatory5,modifierDescription5,modifierName6,modifierType6,modifierCharLimit6,modifierMandatory6,modifierDescription6,modifierName7,modifierType7,modifierCharLimit7,modifierMandatory7,modifierDescription7,modifierName8,modifierType8,modifierCharLimit8,modifierMandatory8,modifierDescription8,modifierName9,modifierType9,modifierCharLimit9,modifierMandatory9,modifierDescription9,modifierName10,modifierType10,modifierCharLimit10,modifierMandatory10,modifierDescription10
mesa-industrial-firme,PRODUCT,Mesa Industrial Firme,TRUE,Estructura de acero reforzado y superficie de madera tratada para uso rudo industrial.,,,,,2450,,,,,,,IN_STOCK,,,,MESA-F-01,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesa-comedor-parota,PRODUCT,Mesa Comedor Parota High-End,TRUE,Superficie de parota sólida de una sola pieza. Acabado premium mate.,,,Premium,,12800,,,,,,,IN_STOCK,,,,MESA-F-02,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesa-cafeteria-redonda,PRODUCT,Mesa Cafetería Redonda Pro,TRUE,Base de pedestal en fundición de hierro y cubierta laminada anti-rayaduras.,,,,,1850,,,,,,,IN_STOCK,,,,MESA-C-01,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silla-minimal-cafe,PRODUCT,Silla Minimalista Café,TRUE,Diseño ergonómico en polipropileno de alta resistencia con patas de madera.,,,,,950,,,,,,,IN_STOCK,,,,SILLA-C-01,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silla-luxury-velvet,PRODUCT,Silla Luxury Velvet Hotel,TRUE,Tapizado en terciopelo suave con estructura dorada reforzada. Ideal para restaurantes elite.,,,Elite,,2100,,,,,,,IN_STOCK,,,,SILLA-H-01,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silla-apilable-evento,PRODUCT,Silla Apilable Evento PRO,TRUE,Estructura ligera de aluminio con asiento acolchado. Diseño inteligente para transporte.,,,,,850,,,,,,,IN_STOCK,,,,SILLA-E-01,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banco-alto-barra-pro,PRODUCT,Banco Alto Barra PRO,TRUE,Taburete con respaldo medio y descansapiés reforzado. Ideal para barras industriales.,,,,,1650,,,,,,,IN_STOCK,,,,BANCO-P-01,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taburete-madera-minimal,PRODUCT,Taburete Madera Minimal,TRUE,Banco de madera sólida con diseño escandinavo. Perfecto para cafeterías modernas.,,,,,1200,,,,,,,IN_STOCK,,,,BANCO-P-02,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banco-tolix-industrial,PRODUCT,Banco Tolix Industrial,TRUE,El clásico diseño industrial en acero galvanizado con acabado mate.,,,,,980,,,,,,,IN_STOCK,,,,BANCO-I-01,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sillon-lounge-hotel-velvet,PRODUCT,Sillón Lounge Hotel Velvet,TRUE,Sofá individual de diseño envolvente para áreas de espera y lobbies de hotel.,,,Luxury,,4200,,,,,,,IN_STOCK,,,,HOTEL-L-01,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sofa-espera-corporate,PRODUCT,Sofá Espera Corporate,TRUE,Sofá de dos plazas con tapicería de grado industrial fácil de limpiar.,,,,,8500,,,,,,,IN_STOCK,,,,HOTEL-L-02,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sillon-club-cuero,PRODUCT,Sillón Club Cuero Industrial,TRUE,Diseño vintage en cuero sintético de alta durabilidad con base de acero.,,,,,5600,,,,,,,IN_STOCK,,,,HOTEL-L-03,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesa-plegable-banquete,PRODUCT,Mesa Plegable Banquete Elite,TRUE,Mesa rectangular plegable con superficie de polietileno de alta densidad.,,,,,1250,,,,,,,IN_STOCK,,,,EVENTO-P-01,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
